phase,tsm,tsn,tsk,wptm,wptn,rtsm,rtsn,threads,local_bytes,source_variant,fast_math,mean_ms,gflops,gain_vs_k2,max_abs_diff,exact_correct,label
step_b,64,64,32,8,8,8,8,64,32768,base,False,45.7619456,3003.345938857984,6.832713965727891,742.9320678710938,False,"TSM=64,TSN=64,TSK=32,WPTM=8,WPTN=8"
step_b,64,64,16,8,8,8,8,64,16384,base,False,46.48764800000001,2956.46175672299,6.726050859789679,724.1190185546875,False,"TSM=64,TSN=64,TSK=16,WPTM=8,WPTN=8"
step_b,128,128,16,8,8,16,16,256,32768,base,False,53.434560000000005,2572.098534581364,5.851611481408287,0.0,True,"TSM=128,TSN=128,TSK=16,WPTM=8,WPTN=8"
step_b,64,64,8,8,8,8,8,64,8192,base,False,67.2478336,2043.7677485568845,4.649641007914938,0.0,True,"TSM=64,TSN=64,TSK=8,WPTM=8,WPTN=8"
step_b,64,64,32,4,4,16,16,256,32768,base,False,69.4885696,1977.8641906596388,4.499708176465328,470.17083740234375,False,"TSM=64,TSN=64,TSK=32,WPTM=4,WPTN=4"
step_b,128,128,8,8,8,16,16,256,16384,base,False,70.9833792,1936.2131673776387,4.404950684568142,2962880512.0,False,"TSM=128,TSN=128,TSK=8,WPTM=8,WPTN=8"
step_b,64,128,16,4,8,16,16,256,24576,base,False,84.914336,1618.5600682551412,3.6822791006691733,0.0,True,"TSM=64,TSN=128,TSK=16,WPTM=4,WPTN=8"
step_b,128,64,16,8,4,16,16,256,24576,base,False,86.5478464,1588.0112468286675,3.6127794948806495,0.0,True,"TSM=128,TSN=64,TSK=16,WPTM=8,WPTN=4"
step_b,64,64,16,4,4,16,16,256,16384,base,False,90.9950976,1510.3995390626408,3.436210225022057,0.0,True,"TSM=64,TSN=64,TSK=16,WPTM=4,WPTN=4"
step_b,64,64,8,4,4,16,16,256,8192,base,False,126.1751744,1089.270960991832,2.4781284138252797,2962516224.0,False,"TSM=64,TSN=64,TSK=8,WPTM=4,WPTN=4"
step_c,128,128,16,8,8,16,16,256,32768,pragma_unroll,False,53.1349888,2586.599838937013,5.884602441094332,0.0,True,"TSM=128,TSN=128,TSK=16,WPTM=8,WPTN=8"
step_c,128,128,16,8,8,16,16,256,32768,fast_math,True,53.5600128,2566.073947465524,5.837905341202607,0.0,True,"TSM=128,TSN=128,TSK=16,WPTM=8,WPTN=8"
step_c,128,128,16,8,8,16,16,256,32768,pad_b_tsk2,False,61.250931200000004,2243.8671670676576,5.10487397781799,0.0,True,"TSM=128,TSN=128,TSK=16,WPTM=8,WPTN=8"
step_c,64,64,8,8,8,8,8,64,8192,fast_math,True,66.8155392,2056.990860473367,4.6797240364109784,0.0,True,"TSM=64,TSN=64,TSK=8,WPTM=8,WPTN=8"
step_c,64,64,8,8,8,8,8,64,8192,pragma_unroll,False,66.937824,2053.233064044627,4.671174921969378,0.0,True,"TSM=64,TSN=64,TSK=8,WPTM=8,WPTN=8"
step_c,64,64,8,8,8,8,8,64,8192,pad_b_tsk2,False,71.0593664,1934.1426814635936,4.400240258826738,0.0,True,"TSM=64,TSN=64,TSK=8,WPTM=8,WPTN=8"
step_c,64,128,16,4,8,16,16,256,24576,fast_math,True,84.17928320000001,1632.69332129452,3.714432731116437,0.0,True,"TSM=64,TSN=128,TSK=16,WPTM=4,WPTN=8"
step_c,64,128,16,4,8,16,16,256,24576,pragma_unroll,False,84.46415999999999,1627.1866490118412,3.7019048647378963,0.0,True,"TSM=64,TSN=128,TSK=16,WPTM=4,WPTN=8"
step_c,64,128,16,4,8,16,16,256,24576,pad_b_tsk2,False,85.7628224,1602.5469967742106,3.6458488194530316,0.0,True,"TSM=64,TSN=128,TSK=16,WPTM=4,WPTN=8"
step_d,128,128,16,8,8,16,16,256,32768,volatile_id,False,57.8508544,2375.746303100408,5.404903489204128,0.0,True,"TSM=128,TSN=128,TSK=16,WPTM=8,WPTN=8"
